NOMBRE,ALCALDIA,SISTEMA,AÑO,lng,lat
Mixhiuca,Venustiano Carranza,STC Metro,1987,-99.11296847676732,19.4083714401572
Jamaica,Venustiano Carranza,STC Metro,1987,-99.12234976018911,19.40910312787644
Chabacano,Cuauhtémoc,STC Metro,1987,-99.13397299201031,19.40851453448194
Lázaro Cárdenas,Cuauhtémoc,STC Metro,1987,-99.14462826288435,19.407218273838726
Centro Médico,Cuauhtémoc,STC Metro,1987,-99.15602793921477,19.406561353277546
Chilpancingo,Cuauhtémoc,STC Metro,1988,-99.16851936424604,19.405929858827395
Patriotismo,Cuauhtémoc,STC Metro,1988,-99.1789225975409,19.40610899290181
Tacubaya,Miguel Hidalgo,STC Metro,1988,-99.18776109100934,19.401460579904057
Tláhuac,Tláhuac,STC Metro,2012,-99.0141983243777,19.286022277290176
Tlaltenco,Tláhuac,STC Metro,2012,-99.02403074663107,19.294353379107935
Zapotitlán,Tláhuac,STC Metro,2012,-99.03430689003962,19.296655586515058
Nopalera,Tláhuac,STC Metro,2012,-99.04599286885365,19.299957304889258
Olivos,Tláhuac,STC Metro,2012,-99.05951149501792,19.304321996002184
Tezonco,Iztapalapa,STC Metro,2012,-99.06527026370269,19.306308825509696
Periferico Oriente,Iztapalapa,STC Metro,2012,-99.07450575078416,19.317611568465104
Calle 11,Iztapalapa,STC Metro,2012,-99.08587286436709,19.320471151871725
Lomas Estrella,Iztapalapa,STC Metro,2012,-99.09575048151491,19.322148856344057
San Andres Tomatlán,Iztapalapa,STC Metro,2012,-99.1045158609058,19.32814547952075
Culhuacán,Iztapalapa,STC Metro,2012,-99.10895874517293,19.336845611079582
Atlalilco,Iztapalapa,STC Metro,2012,-99.10624316535984,19.352754172814933
Mexicaltzingo,Coyoacán,STC Metro,2012,-99.1231432322264,19.35776253608585
Ermita,Benito Juárez,STC Metro,2012,-99.14163136305437,19.359823503023833
Eje Central,Benito Juárez,STC Metro,2012,-99.15142336147862,19.361341237938568
Parque de los Venados,Benito Juárez,STC Metro,2012,-99.15871771897177,19.37065883497745
Zapata,Benito Juárez,STC Metro,2012,-99.165599315594,19.37084530155701
Hospital 20 de Noviembre,Benito Juárez,STC Metro,2012,-99.17088446276829,19.37201337695184
Insurgentes Sur,Benito Juárez,STC Metro,2012,-99.17825012925253,19.373553470227108
Mixcoac,Benito Juárez,STC Metro,2012,-99.18673050109385,19.37569882343627
Pantitlán,Iztacalco,STC Metro,1991,-99.07192293715731,19.415297524541934
Agrícola Oriental,Iztacalco,STC Metro,1991,-99.06956646430945,19.404618895931353
Canal de San Juan,Iztacalco,STC Metro,1991,-99.05942280066026,19.39876293119974
Tepalcates,Iztapalapa,STC Metro,1991,-99.04632939735716,19.391276494960067
Guelatao,Iztapalapa,STC Metro,1991,-99.03565960069986,19.385153887463556
Peñón Viejo,Iztapalapa,STC Metro,1991,-99.01705483641234,19.373305051789014
Acatitla,Iztapalapa,STC Metro,1991,-99.00567271685955,19.364717390396216
Santa Marta,Iztapalapa,STC Metro,1991,-98.99517832323626,19.36030504737167
Los Reyes,EDOMX,STC Metro,1991,-98.97686678250444,19.35903746198999
La Paz,EDOMX,STC Metro,1991,-98.96093725042675,19.350561572133337
Buenavista,Cuauhtémoc,STC Metro,1999,-99.15235137742634,19.446185903359645
Guerrero,Cuauhtémoc,STC Metro,1999,-99.14613872738674,19.44514483254338
Garibaldi/Lagunilla,Cuauhtémoc,STC Metro,1999,-99.13786566485716,19.44388963210198
Lagunilla,Cuauhtémoc,STC Metro,1999,-99.13023042923575,19.443220041827658
Tepito,Cuauhtémoc,STC Metro,1999,-99.12406744029855,19.442789391295424
Morelos,Venustiano Carranza,STC Metro,1999,-99.11956876702453,19.439166627281327
San Lázaro,Venustiano Carranza,STC Metro,1999,-99.11296097266766,19.432370934586487
Ricardo Flores Magón,Venustiano Carranza,STC Metro,1999,-99.10370874117547,19.43656537337327
Romero Rubio,Venustiano Carranza,STC Metro,1999,-99.09420167473102,19.440835354165493
Oceanía,Venustiano Carranza,STC Metro,1999,-99.08721732565787,19.445694826958526
Deportivo Oceanía,Gustavo A. Madero,STC Metro,1999,-99.07933423067036,19.451011097259663
Bosque de Aragón,Gustavo A. Madero,STC Metro,1999,-99.0692886960206,19.458094772963857
Villa de Aragón,Gustavo A. Madero,STC Metro,1999,-99.06138196686965,19.461670791944844
Nezahualcóyotl,EDOMX,STC Metro,2000,-99.05461333650334,19.472885633631996
Impulsora,EDOMX,STC Metro,2000,-99.0489571600943,19.485753223001417
Río de los Remedios,EDOMX,STC Metro,2000,-99.04678664175502,19.490688675585073
Múzquiz,EDOMX,STC Metro,2000,-99.0420671972603,19.501490328356404
Ecatepec,EDOMX,STC Metro,2000,-99.0360693374375,19.515125082713773
Olímpica,EDOMX,STC Metro,2000,-99.03334249438895,19.521344934228452
Plaza Aragón,EDOMX,STC Metro,2000,-99.03018454966082,19.528475893853724
Ciudad Azteca,EDOMX,STC Metro,2000,-99.0275097173377,19.53451306511141
Indios Verdes,Gustavo A. Madero,Metrobús,2005,-99.1197166239516,19.496820269308767
Deportivo 18 de Marzo,Gustavo A. Madero,Metrobús,2005,-99.12453169877719,19.486285379281302
Eúzkaro,Gustavo A. Madero,Metrobús,2005,-99.1276322338771,19.482519101724748
Potrero,Gustavo A. Madero,Metrobús,2005,-99.13246823843694,19.47663847133239
La Raza,Gustavo A. Madero,Metrobús,2005,-99.13898666414441,19.468700050075984
Circuito,Cuauhtémoc,Metrobús,2005,-99.14400676821575,19.462612766654043
San Simón,Cuauhtémoc,Metrobús,2005,-99.14642434507329,19.45963253601486
Manuel González,Cuauhtémoc,Metrobús,2005,-99.14938851582627,19.456735562915654
Buenavista,Cuauhtémoc,Metrobús,2005,-99.15313066525827,19.446837951491222
El Chopo,Cuauhtémoc,Metrobús,2005,-99.15441113382467,19.443345082590124
Revolución,Cuauhtémoc,Metrobús,2005,-99.15541037980205,19.440352788005473
Plaza de la República,Cuauhtémoc,Metrobús,2005,-99.15731874194113,19.43604596667596
Reforma,Cuauhtémoc,Metrobús,2005,-99.1587145097315,19.432899100304887
Hamburgo,Cuauhtémoc,Metrobús,2005,-99.16123541791019,19.427524408488093
Insurgentes,Cuauhtémoc,Metrobús,2005,-99.16288381656163,19.423720529286136
Durango,Cuauhtémoc,Metrobús,2005,-99.16405562946709,19.419932751962506
Álvaro Obregón,Cuauhtémoc,Metrobús,2005,-99.1650558162939,19.416550991836004
Sonora,Cuauhtémoc,Metrobús,2005,-99.16612421930998,19.41327192541084
Campeche,Cuauhtémoc,Metrobús,2005,-99.16726559319723,19.409768753876385
Chilpancingo,Cuauhtémoc,Metrobús,2005,-99.16830486099549,19.40657883311772
Nuevo León,Cuauhtémoc,Metrobús,2005,-99.16978385573128,19.402043181971667
La Piedad,Benito Juárez,Metrobús,2005,-99.17111120244846,19.397970337893284
Polifórum,Benito Juárez,Metrobús,2005,-99.17262501859531,19.393299203269656
Nápoles,Benito Juárez,Metrobús,2005,-99.17379441145283,19.389690652430087
Colonia del Valle,Benito Juárez,Metrobús,2005,-99.17509207046145,19.385686102673322
Ciudad de los Deportes,Benito Juárez,Metrobús,2005,-99.1761401612829,19.382451565772403
Parque Hundido,Benito Juárez,Metrobús,2005,-99.17706840269362,19.379586786836697
Félix Cuevas,Benito Juárez,Metrobús,2005,-99.17879652760108,19.37425309507364
Río Churubusco,Benito Juárez,Metrobús,2005,-99.1805698110262,19.368779651326197
Teatro de los Insurgentes,Benito Juárez,Metrobús,2005,-99.18182520026065,19.364926390922818
José María Velasco,Benito Juárez,Metrobús,2005,-99.18284977497152,19.3617589894926
Francia,Álvaro Obregón,Metrobús,2005,-99.18391155626527,19.35847643044193
Olivo,Álvaro Obregón,Metrobús,2005,-99.18515664834351,19.354626982445
Altavista,Álvaro Obregón,Metrobús,2005,-99.18635640203838,19.35090384936114
La Bombilla,Álvaro Obregón,Metrobús,2005,-99.18772621793694,19.34681851388684
Doctor Gálvez,Álvaro Obregón,Metrobús,2005,-99.19003696364493,19.340707214064047
Ciudad Universitaria,Coyoacán,Metrobús,2008,-99.1884729507773,19.32294736417757
Centro Cultural Universitario,Coyoacán,Metrobús,2008,-99.18752695261469,19.31516216698718
Perisur,Coyoacán,Metrobús,2008,-99.18612669749088,19.30410963205271
Villa Olímpica,Tlalpan,Metrobús,2008,-99.18551481212366,19.29909176437759
Corregidora,Tlalpan,Metrobús,2008,-99.18103173192897,19.29407008467852
Ayuntamiento,Tlalpan,Metrobús,2008,-99.17753669026443,19.29259546397897
Fuentes Brotantes,Tlalpan,Metrobús,2008,-99.17459757164023,19.28810358784477
Santa Úrsula,Tlalpan,Metrobús,2008,-99.17530107462876,19.283262764240387
La Joya,Tlalpan,Metrobús,2008,-99.16999257313051,19.28032213374278
El Caminero,Tlalpan,Metrobús,2008,-99.169077651688,19.279313771100398
Tacubaya,Miguel Hidalgo,Metrobús,2008,-99.1870077632613,19.40199476042973
Parque Lira,Miguel Hidalgo,Metrobús,2008,-99.18910436352093,19.40779317283208
Antonio Maceo,Miguel Hidalgo,Metrobús,2008,-99.18590086578126,19.404874624595113
De la Salle,Miguel Hidalgo,Metrobús,2008,-99.1835088487393,19.407589548910547
Patriotismo,Miguel Hidalgo,Metrobús,2008,-99.1773714812034,19.405566764488515
Escandón,Miguel Hidalgo,Metrobús,2008,-99.17382889902932,19.40440985176071
Nuevo León,Miguel Hidalgo,Metrobús,2008,-99.17040793411599,19.403500674595463
Viaducto,Cuauhtémoc,Metrobús,2008,-99.16809334044802,19.401314543451853
Amores,Benito Juárez,Metrobús,2008,-99.16381574759734,19.396878357792517
Etiopía,Benito Juárez,Metrobús,2008,-99.15500152333755,19.395841134451064
Doctor Vértiz,Benito Juárez,Metrobús,2008,-99.15170767912412,19.395607559960233
Centro SCOP,Benito Juárez,Metrobús,2008,-99.14675568044022,19.395248034972745
Álamos,Benito Juárez,Metrobús,2008,-99.14294279685157,19.394753096944772
Xola,Benito Juárez,Metrobús,2008,-99.14025137073726,19.39436504913607
Las Américas,Benito Juárez,Metrobús,2008,-99.13434908408155,19.39345945469012
Andrés Molina,Iztacalco,Metrobús,2008,-99.12970010486903,19.397677434417748
La Viga,Iztacalco,Metrobús,2008,-99.12456230678582,19.398064619795626
Coyuya,Iztacalco,Metrobús,2008,-99.11678225505435,19.39828338536593
Metro Coyuya,Iztacalco,Metrobús,2008,-99.11346516727467,19.398329416102463
Canela,Iztacalco,Metrobús,2008,-99.10933775978614,19.397848657667005
Tlacotal,Iztacalco,Metrobús,2008,-99.10391106047621,19.397219080500424
Goma,Iztacalco,Metrobús,2008,-99.10000719861863,19.39689074559143
Iztacalco,Iztacalco,Metrobús,2008,-99.09595755861723,19.39654706389364
UPIICSA,Iztacalco,Metrobús,2008,-99.09039212721727,19.39393502736353
El Rodeo,Iztacalco,Metrobús,2008,-99.08708024431142,19.391661319394405
Río Tecolutla,Iztapalapa,Metrobús,2008,-99.08315001557854,19.389056448112687
Río Mayo,Iztapalapa,Metrobús,2008,-99.08002356758753,19.38696180590525
Rojo Gómez,Iztapalapa,Metrobús,2008,-99.07636651329238,19.384508944125212
Río Frío,Iztapalapa,Metrobús,2008,-99.07428095755384,19.387628405483174
Del Moral,Iztapalapa,Metrobús,2008,-99.07092025127206,19.38419717682272
Leyes de Reforma,Iztapalapa,Metrobús,2008,-99.06581961925372,19.383470158511923
CCH Oriente,Iztacalco,Metrobús,2008,-99.06079184774066,19.383326965131772
Constitución de Apatzingán,Iztapalapa,Metrobús,2008,-99.05984821878995,19.389031206363992
Canal de San Juan,Iztapalapa,Metrobús,2008,-99.05654752017989,19.39671122377909
General Antonio de León,Iztapalapa,Metrobús,2008,-99.05173381363625,19.38538130159504
Nicolás Bravo,Iztapalapa,Metrobús,2008,-99.0509253201286,19.393495417171554
Tepalcates,Iztapalapa,Metrobús,2008,-99.04761259244668,19.390767861575924
Tenayuca,Gustavo A. Madero,Metrobús,2011,-99.17011135799135,19.528616982393824
San José de la Escalera,Gustavo A. Madero,Metrobús,2011,-99.16555534825116,19.522718769379715
Progreso Nacional,Gustavo A. Madero,Metrobús,2011,-99.16377197209015,19.519688433851837
Tres Anegas,Gustavo A. Madero,Metrobús,2011,-99.1619328300671,19.51550543826691
Júpiter,EDOMX,Metrobús,2011,-99.15923575677922,19.50861411148125
La Patera,EDOMX,Metrobús,2011,-99.15726666835567,19.503663641847034
Poniente 146,Azcapotzalco,Metrobús,2011,-99.1558846639549,19.499986083480387
Montevideo,Azcapotzalco,Metrobús,2011,-99.15445675394815,19.496105808364494
Poniente 134,Azcapotzalco,Metrobús,2011,-99.15317061311144,19.492687505131116
Poniente 128,Azcapotzalco,Metrobús,2011,-99.15195566058132,19.48954592664278
Magdalena de las Salinas,Azcapotzalco,Metrobús,2011,-99.14985948376429,19.483881525125746
Coltongo,Gustavo A. Madero,Metrobús,2011,-99.14832741738437,19.47985142908925
Cuitláhuac,Gustavo A. Madero,Metrobús,2011,-99.14616040328559,19.474150674077148
Héroe de Nacozari,Azcapotzalco,Metrobús,2011,-99.14503853027654,19.471162298443126
Hospital La Raza,Gustavo A. Madero,Metrobús,2011,-99.14384647140294,19.467990084991282
La Raza,Gustavo A. Madero,Metrobús,2011,-99.1409519770005,19.467325707115034
Circuito,Cuauhtémoc,Metrobús,2011,-99.14406240800268,19.463292598767545
Tolnahuác,Cuauhtémoc,Metrobús,2011,-99.1440643446892,19.4598898017759
Tlatelolco,Cuauhtémoc,Metrobús,2011,-99.14504558651811,19.45555939695963
Ricardo Flores Magón,Cuauhtémoc,Metrobús,2011,-99.14590431391822,19.451781828819946
Guerrero,Cuauhtémoc,Metrobús,2011,-99.14721203547336,19.44602878131228
Buenavista III,Cuauhtémoc,Metrobús,2011,-99.15199698520324,19.44612652332523
Mina,Cuauhtémoc,Metrobús,2011,-99.14854680022282,19.44058423822967
Hidalgo,Cuauhtémoc,Metrobús,2011,-99.14721354299839,19.43600578401694
Juárez,Cuauhtémoc,Metrobús,2011,-99.14803226273686,19.431290369144776
Balderas,Cuauhtémoc,Metrobús,2011,-99.14873920957753,19.428065823281614
Cuauhtémoc,Cuauhtémoc,Metrobús,2011,-99.15370156831106,19.42495914337273
Jardín Pushkin,Cuauhtémoc,Metrobús,2011,-99.15408364465861,19.420398689564447
Hospital General,Cuauhtémoc,Metrobús,2011,-99.15455902138508,19.41443601939127
Doctor Márquez,Cuauhtémoc,Metrobús,2011,-99.15484499377287,19.411111393262004
Centro Médico,Cuauhtémoc,Metrobús,2011,-99.15512667828921,19.407273230594235
Obrero Mundial,Benito Juárez,Metrobús,2011,-99.15560230925284,19.401060179147215
Etiopía,Benito Juárez,Metrobús,2011,-99.15590245505074,19.39699688612625
Luz Saviñón,Benito Juárez,Metrobús,2021,-99.15634604671052,19.39159299325822
Eugenia,Benito Juárez,Metrobús,2021,-99.1572271170467,19.385953800913448
División del Norte,Benito Juárez,Metrobús,2021,-99.15874369784548,19.380505259578417
Miguel Laurent,Benito Juárez,Metrobús,2021,-99.16022982003987,19.374836827241936
Pueblo Santa Cruz Atoyac,Benito Juárez,Metrobús,2021,-99.16100881216751,19.371569277530476
Buenavista IV,Cuauhtémoc,Metrobús,2012,-99.15225774605275,19.444910473000864
Delegación Cuauhtémoc,Cuauhtémoc,Metrobús,2012,-99.15245349616123,19.44247867101672
México-Tenochtitlan,Cuauhtémoc,Metrobús,2012,-99.1531904942062,19.439227379949976
Museo San Carlos,Cuauhtémoc,Metrobús,2012,-99.15016198884351,19.43811063400288
Hidalgo,Cuauhtémoc,Metrobús,2012,-99.1460393550731,19.437267018948873
Bellas Artes,Cuauhtémoc,Metrobús,2012,-99.14171257010614,19.436380397078207
Teatro Blanquita,Cuauhtémoc,Metrobús,2012,-99.1394440800509,19.438553936043693
República de Chile,Cuauhtémoc,Metrobús,2012,-99.13557259391372,19.43796463235922
República de Argentina,Cuauhtémoc,Metrobús,2012,-99.13149760577794,19.437413090483503
Teatro del Pueblo,Cuauhtémoc,Metrobús,2012,-99.12732841185209,19.436836596542676
