"","AÑO","ALCALDIA","ML1","score"
"89",1974,"Magdalena Contreras",-0.599333039940972,0.209548126439678
"90",1974,"Milpa Alta",-0.812052526879595,0.143651179599789
"91",1975,"Azcapotzalco",0.111156593186335,0.429645956959508
"92",1975,"Coyoacán",0.199855775541144,0.457123483294756
"93",1975,"Gustavo A. Madero",0.0288307620203578,0.404142788453562
"94",1975,"Iztacalco",0.186105219891945,0.452863790646589
"95",1975,"Iztapalapa",-0.402273829783935,0.270593780897163
"96",1975,"Tlalpan",-0.142808405332678,0.35097183900515
"97",1975,"Tláhuac",-0.863932196775093,0.127579723719675
"98",1975,"Xochimilco",-0.250225948417468,0.317695676918635
"99",1975,"Benito Juárez",0.537271727613691,0.561649313892827
"100",1975,"Cuauhtémoc",1.95229529880391,1
"101",1975,"Miguel Hidalgo",0.581986163208233,0.575501099771754
