AÑO,ALCALDIA,POBLACION,MEAN_DIST,EST_TOTAL,ZOC_DIST
1984,Iztacalco,521555,686.7231774,2,5710.416862
1985,Iztacalco,509349.5,686.7231774,2,5710.416862
1986,Iztacalco,497144,686.7231774,2,5710.416862
1987,Iztacalco,484938.5,547.5705629,2,5710.416862
1988,Iztacalco,472733,547.5705629,2,5710.416862
1989,Iztacalco,460527.5,547.5705629,2,5710.416862
1990,Iztacalco,448322,547.5705629,2,5710.416862
1991,Iztacalco,442454,406.1782972,5,5710.416862
1992,Iztacalco,436586,406.1782972,5,5710.416862
1993,Iztacalco,430718,406.1782972,5,5710.416862
1994,Iztacalco,424850,342.3593425,8,5710.416862
1995,Iztacalco,418982,342.3593425,8,5710.416862
1996,Iztacalco,417443.2,342.3593425,8,5710.416862
1997,Iztacalco,415904.4,342.3593425,8,5710.416862
1998,Iztacalco,414365.6,342.3593425,8,5710.416862
1999,Iztacalco,412826.8,342.3593425,8,5710.416862
2000,Iztacalco,411288,342.3593425,8,5710.416862
2001,Iztacalco,408035.4,342.3593425,8,5710.416862
2002,Iztacalco,404782.8,342.3593425,8,5710.416862
2003,Iztacalco,401530.2,342.3593425,8,5710.416862
2004,Iztacalco,398277.6,342.3593425,8,5710.416862
2005,Iztacalco,395025,342.3593425,8,5710.416862
2006,Iztacalco,392885.2,342.3593425,8,5710.416862
2007,Iztacalco,390745.4,342.3593425,8,5710.416862
2008,Iztacalco,388605.6,206.1316573,19,5710.416862
2009,Iztacalco,386465.8,206.1316573,19,5710.416862
2010,Iztacalco,384326,206.1316573,19,5710.416862
2011,Iztacalco,385530.4,206.1316573,19,5710.416862
2012,Iztacalco,386734.8,205.7931083,19,5710.416862
2013,Iztacalco,387939.2,205.7931083,19,5710.416862
2014,Iztacalco,389143.6,205.7931083,19,5710.416862
2015,Iztacalco,390348,205.7931083,19,5710.416862
2016,Iztacalco,393217.4,205.7931083,19,5710.416862
2017,Iztacalco,396086.8,205.7931083,19,5710.416862
2018,Iztacalco,398956.2,205.7931083,19,5710.416862
2019,Iztacalco,401825.6,205.7931083,19,5710.416862
2020,Iztacalco,404695,203.2507786,25,5710.416862
2021,Iztacalco,407564.4,203.2271829,25,5710.416862
1969,Iztapalapa,448069.1,4400.833787,0,5830.566039
1970,Iztapalapa,522095,4393.57373,0,5830.566039
1971,Iztapalapa,596120.9,4393.57373,0,5830.566039
1972,Iztapalapa,670146.8,4393.57373,0,5830.566039
1973,Iztapalapa,744172.7,4393.57373,0,5830.566039
1974,Iztapalapa,818198.6,4393.57373,0,5830.566039
1975,Iztapalapa,892224.5,4393.57373,0,5830.566039
1976,Iztapalapa,966250.4,4393.57373,0,5830.566039
1977,Iztapalapa,1.04E+06,4393.57373,0,5830.566039
1978,Iztapalapa,1.11E+06,4393.57373,0,5830.566039
1979,Iztapalapa,1.19E+06,4393.57373,0,5830.566039
1980,Iztapalapa,1.26E+06,4393.57373,0,5830.566039
1981,Iztapalapa,1.29E+06,3805.619358,0,5830.566039
1982,Iztapalapa,1.31E+06,3795.726242,0,5830.566039
1983,Iztapalapa,1.33E+06,3795.726242,0,5830.566039
1984,Iztapalapa,1.35E+06,3795.722604,0,5830.566039
1985,Iztapalapa,1.38E+06,3795.722604,0,5830.566039
1986,Iztapalapa,1.40E+06,3795.722604,0,5830.566039
1987,Iztapalapa,1.42E+06,3615.265554,0,5830.566039
1988,Iztapalapa,1.44E+06,3615.265554,0,5830.566039
1989,Iztapalapa,1.47E+06,3615.265554,0,5830.566039
1990,Iztapalapa,1.49E+06,3615.265554,0,5830.566039
1991,Iztapalapa,1.53E+06,875.0085716,5,5830.566039
1992,Iztapalapa,1.57E+06,875.0085716,5,5830.566039
1993,Iztapalapa,1.61E+06,875.0085716,5,5830.566039
1994,Iztapalapa,1.66E+06,628.8147984,13,5830.566039
1995,Iztapalapa,1.70E+06,628.8147984,13,5830.566039
1996,Iztapalapa,1.71E+06,628.8147984,13,5830.566039
1997,Iztapalapa,1.73E+06,628.8147984,13,5830.566039
1998,Iztapalapa,1.74E+06,628.8147984,13,5830.566039
1999,Iztapalapa,1.75E+06,628.8147984,13,5830.566039
2000,Iztapalapa,1.77E+06,628.8147984,13,5830.566039
2001,Iztapalapa,1.78E+06,628.8147984,13,5830.566039
2002,Iztapalapa,1.79E+06,628.8147984,13,5830.566039
2003,Iztapalapa,1.80E+06,628.8147984,13,5830.566039
2004,Iztapalapa,1.81E+06,628.8147984,13,5830.566039
2005,Iztapalapa,1.82E+06,628.8147984,13,5830.566039
2006,Iztapalapa,1.82E+06,628.8147984,13,5830.566039
2007,Iztapalapa,1.82E+06,628.8147984,13,5830.566039
2008,Iztapalapa,1.82E+06,574.383548,24,5830.566039
2009,Iztapalapa,1.82E+06,574.383548,24,5830.566039
2010,Iztapalapa,1.82E+06,574.383548,24,5830.566039
2011,Iztapalapa,1.82E+06,574.383548,24,5830.566039
2012,Iztapalapa,1.82E+06,459.6385591,31,5830.566039
2013,Iztapalapa,1.82E+06,459.6385591,31,5830.566039
2014,Iztapalapa,1.83E+06,459.6385591,31,5830.566039
2015,Iztapalapa,1.83E+06,459.6385591,31,5830.566039
2016,Iztapalapa,1.83E+06,459.6385591,31,5830.566039
2017,Iztapalapa,1.83E+06,459.6385591,31,5830.566039
2018,Iztapalapa,1.83E+06,459.6385591,31,5830.566039
2019,Iztapalapa,1.83E+06,459.6385591,31,5830.566039
2020,Iztapalapa,1.84E+06,455.9690342,41,5830.566039
2021,Iztapalapa,1.84E+06,367.51887,48,5830.566039
1969,Tlalpan,106893.5,3881.072998,0,12048.4089
1970,Tlalpan,130719,3051.78551,0,12048.4089
1971,Tlalpan,154544.5,3051.78551,0,12048.4089
1972,Tlalpan,178370,2657.821892,0,12048.4089
1973,Tlalpan,202195.5,2657.821892,0,12048.4089
1974,Tlalpan,226021,2657.821892,0,12048.4089
1975,Tlalpan,249846.5,2657.821892,0,12048.4089
1976,Tlalpan,273672,2657.821892,0,12048.4089
1977,Tlalpan,297497.5,2657.821892,0,12048.4089
1978,Tlalpan,321323,2657.821892,0,12048.4089
1979,Tlalpan,345148.5,2657.821892,0,12048.4089
1980,Tlalpan,368974,2523.512537,0,12048.4089
1981,Tlalpan,380531,2523.263421,0,12048.4089
1982,Tlalpan,392088,2514.176827,0,12048.4089
1983,Tlalpan,403645,2239.647148,0,12048.4089
